Student Name,Grade,Address,Salary,Temperature °F (2026-07-23)
Shiloh Murphy,81,"6369 Highland Ave, Salem, VA 53086",4864,67.1
Milan Bailey,96,"896 Birch Court, Madison, WI 22654",3272,68.1
Ari Rivera,74,"6223 Sunset Terrace, Georgetown, KY 20491",2619,68.4
Sam Cooper,90,"3713 Meadow Lane, Milton, DE 12686",5601,69.6
Jules Richardson,84,"9694 Maple Ave, Madison, WI 69155",5063,68.1
Taylor Cox,78,"3947 River Road, Clinton, IA 34731",3225,68.5
Jordan Howard,91,"1707 Sunset Terrace, Portland, ME 60007",4252,66.0
Alex Ward,86,"9506 Oak Street, Riverside, CA 81800",2565,94.7
Morgan Torres,82,"1023 Birch Court, Milton, DE 29710",2860,69.6
Casey Peterson,88,"932 Lakeview Blvd, Portland, ME 18393",5979,66.0
Riley Gray,75,"7850 Oak Street, Franklin, TN 52252",2218,72.9
Cameron Ramirez,94,"1788 Lakeview Blvd, Milton, DE 37429",5933,69.6
Avery James,83,"6384 Willow Way, Ashland, OH 86227",5810,66.1
Quinn Watson,79,"8469 River Road, Springfield, IL 95057",4243,70.4
Parker Brooks,92,"3932 Pine Road, Ashland, OH 25411",5858,66.1
Reese Kelly,85,"6473 Cedar Lane, Salem, VA 23170",3539,67.1
Skyler Sanders,80,"1965 Oak Street, Milton, DE 30866",4527,69.6
Rowan Price,97,"3318 Lakeview Blvd, Franklin, TN 17507",5331,72.9
Dakota Bennett,73,"111 Birch Court, Salem, VA 58477",4287,67.1
Emerson Wood,89,"2341 Oak Street, Milton, DE 16506",4162,69.6
Finley Barnes,87,"2355 Pine Road, Bristol, CT 36894",2008,67.1
Hayden Ross,81,"9765 Pine Road, Bristol, CT 42352",4325,67.1
Sawyer Henderson,93,"9054 Willow Way, Fairview, OR 92793",3066,79.4
Kendall Coleman,76,"3746 Pine Road, Franklin, TN 10854",5990,72.9
Blake Jenkins,90,"6219 Cedar Lane, Riverside, CA 40206",4142,94.7
Jamie Perry,84,"4061 Highland Ave, Portland, ME 18433",3899,66.0
Payton Powell,88,"8543 Sunset Terrace, Salem, VA 58411",3705,67.1
Drew Long,77,"8068 Pine Road, Salem, VA 62707",3570,67.1
Sydney Patterson,95,"8039 Pine Road, Ashland, OH 34240",4478,66.1
Logan Hughes,82,"7737 Highland Ave, Salem, VA 80064",3639,67.1
Harper Flores,91,"1100 Lakeview Blvd, Franklin, TN 85547",2446,72.9
Elliot Washington,74,"2416 Cedar Lane, Springfield, IL 72452",5402,70.4
Charlie Butler,86,"5540 Willow Way, Portland, ME 97168",2006,66.0
River Simmons,83,"8036 Pine Road, Georgetown, KY 38411",2765,68.4
Phoenix Foster,79,"4152 Pine Road, Georgetown, KY 95566",3639,68.4
Sage Gonzales,98,"1662 Highland Ave, Milton, DE 72206",4033,69.6
Robin Bryant,85,"9474 Sunset Terrace, Riverside, CA 27559",5963,94.7
Micah Alexander,87,"5477 Birch Court, Springfield, IL 49631",4246,70.4
Noel Russell,72,"9357 River Road, Springfield, IL 79205",4208,70.4
Tatum Griffin,94,"8079 Oak Street, Milton, DE 56822",4837,69.6
Frankie Diaz,80,"4896 Birch Court, Springfield, IL 31454",4201,70.4
Shawn Hayes,89,"9619 Pine Road, Fairview, OR 41887",3399,79.4
Corey Myers,78,"6554 Maple Ave, Clinton, IA 58511",5640,68.5
Marley Ford,92,"8252 Willow Way, Franklin, TN 99348",4275,72.9
Remy Hamilton,84,"6468 Pine Road, Springfield, IL 15821",4989,70.4
Lane Graham,76,"1200 Birch Court, Fairview, OR 50653",3325,79.4
Justice Sullivan,96,"4431 Oak Street, Springfield, IL 40109",4411,70.4
Ellis Wallace,81,"3372 Lakeview Blvd, Ashland, OH 44105",5897,66.1
Kerry Woods,88,"9933 Pine Road, Fairview, OR 54065",5072,79.4
Tristan Cole,75,"1799 Meadow Lane, Portland, ME 38797",2810,66.0
Wren West,93,"1339 Meadow Lane, Springfield, IL 27067",2510,70.4
Lennon Jordan,82,"196 Oak Street, Clinton, IA 28747",4367,68.5
Arden Owens,90,"6491 Birch Court, Madison, WI 44766",5630,68.1
Shiloh Reynolds,86,"5700 Cedar Lane, Clinton, IA 81520",2648,68.5
Milan Fisher,97,"5326 Cedar Lane, Portland, ME 74210",3183,66.0
